portfolioid,datetime,annualreturns,dailychange,gainloss
p004,2024-05-23 03:54:00,8.41,1.51,681
p004,2024-06-25 17:46:00,12.73,-2.85,1545
p004,2024-07-15 07:26:00,1.94,3.27,-612
p004,2024-08-13 13:46:00,-3.05,-1.87,-1611
p004,2024-09-11 21:16:00,2.66,4.54,-467
p004,2024-10-22 15:04:00,-3.13,3.32,-1627
p004,2024-11-03 13:06:00,10.24,2.39,1049
p004,2024-12-26 04:35:00,-3.77,0.86,-1755
p005,2024-01-18 17:21:00,8.72,-3.78,744
p005,2024-02-12 21:48:00,3.66,3.68,-268
p005,2024-03-24 01:18:00,7.29,-1.88,459
p005,2024-04-04 18:32:00,-0.64,-3.45,-1129
p005,2024-05-16 07:54:00,-2.79,-1.5,-1557
p005,2024-06-18 11:07:00,10.62,-2.21,1123
p005,2024-07-08 13:54:00,6.49,4.75,297
p005,2024-08-27 19:39:00,8.82,1.43,764
p005,2024-09-01 19:59:00,8.47,3.29,694
p005,2024-10-09 00:11:00,0.59,2.03,-881
p005,2024-11-10 10:22:00,-4.88,-3.19,-1975
p005,2024-12-05 18:42:00,3.21,-4.3,-359
p006,2024-01-24 20:01:00,-3.12,2.46,-1625
p006,2024-02-07 12:26:00,4.29,-1.59,-142
p006,2024-03-12 09:46:00,1.64,2.77,-672
p006,2024-04-19 19:05:00,13.09,-4.47,1618
p006,2024-05-06 19:03:00,8.8,-4.18,760
p006,2024-06-15 21:27:00,4.95,1.07,-11
p006,2024-07-14 08:13:00,10.46,0.12,1092
p006,2024-08-12 13:07:00,0.8,1.78,-840
p006,2024-09-19 15:33:00,8.66,-1.92,732
p006,2024-10-08 12:38:00,-3.88,-4.92,-1776
p006,2024-11-10 06:49:00,-2.19,2.64,-1438
p006,2024-12-10 10:07:00,-4.84,-0.03,-1969
p007,2024-01-14 05:08:00,2.79,0.33,-443
p007,2024-02-08 16:35:00,12.06,1.68,1413
p007,2024-03-12 02:25:00,12.64,2.42,1529
p007,2024-04-14 00:29:00,13.87,-4.22,1773
p007,2024-05-11 18:27:00,6.74,-0.96,348
p007,2024-06-21 13:18:00,-2.65,-0.95,-1529
p007,2024-07-11 05:51:00,14.4,1.18,1881
p007,2024-08-27 22:58:00,2.41,-4.12,-518
p007,2024-09-28 03:15:00,3.92,0.89,-216
p007,2024-10-17 02:25:00,12.82,-1.9,1565
p007,2024-11-11 07:21:00,10.95,-3.32,1191
p007,2024-12-17 20:07:00,5.87,0.1,173
p008,2024-01-25 11:22:00,9.89,4.58,979
p008,2024-02-21 04:15:00,-2.9,-3.54,-1579
p008,2024-03-07 05:38:00,-1.87,2.6,-1374
p008,2024-04-21 02:11:00,14.48,2.73,1896
p008,2024-05-16 14:48:00,6.55,2.6,309
p008,2024-06-15 21:59:00,13.06,0.64,1612
p008,2024-07-21 19:20:00,12.7,4.71,1539
p008,2024-08-11 04:28:00,-3.6,-0.31,-1721
p008,2024-09-21 09:50:00,0.62,0.91,-875
p008,2024-10-12 16:04:00,1.35,-0.38,-729
p008,2024-11-02 01:23:00,12.03,-2.13,1406
p008,2024-12-21 02:39:00,7.16,0.07,433
p009,2024-01-15 18:35:00,14.54,2.92,1908
p009,2024-02-02 14:58:00,11.59,0.72,1317
p009,2024-03-07 10:38:00,4.74,0.01,-52
p009,2024-04-02 14:06:00,11.61,3.99,1321
p009,2024-05-11 22:05:00,5.33,1.46,66
p009,2024-06-02 07:45:00,3.96,4.91,-207
p009,2024-07-17 16:39:00,-1.75,-1.36,-1350
p009,2024-08-10 12:26:00,10.86,-1.62,1172
p009,2024-09-20 01:50:00,7.92,1.47,584
p009,2024-10-03 10:06:00,6.43,1.78,285
p009,2024-11-10 08:46:00,12.44,1.57,1488
p009,2024-12-20 04:21:00,-3.33,0.83,-1667
p010,2024-01-05 11:19:00,14.82,1.56,1963
p010,2024-02-22 12:08:00,7.18,2.09,437
p010,2024-03-03 09:35:00,2.71,1.43,-458
p010,2024-04-11 04:42:00,9.39,3.29,878
p010,2024-05-24 21:58:00,5.78,-4.07,156
p010,2024-06-22 13:32:00,2.41,-4.82,-518
p010,2024-07-10 05:13:00,2.0,4.48,-601
p010,2024-08-16 06:14:00,-2.19,-3.45,-1437
p010,2024-09-10 03:32:00,10.79,0.4,1157
p010,2024-10-24 16:02:00,8.55,-1.63,711
p010,2024-11-25 19:08:00,7.23,-1.23,446
p010,2024-12-06 05:53:00,9.19,2.71,837
p011,2024-01-26 05:46:00,3.96,-4.56,-208
p011,2024-02-12 21:46:00,-0.14,4.7,-1028
p011,2024-03-20 09:48:00,10.33,2.84,1066
p011,2024-04-08 17:15:00,1.33,4.66,-733
p011,2024-05-26 15:57:00,12.1,-3.06,1420
p011,2024-06-22 18:28:00,4.46,2.69,-109
p011,2024-07-25 12:32:00,5.8,-0.81,160
p011,2024-08-06 06:51:00,7.38,-3.62,476
p011,2024-09-09 01:41:00,4.84,3.74,-32
p011,2024-10-18 03:45:00,12.32,0.16,1464
p011,2024-11-04 09:05:00,10.62,-3.4,1125
p011,2024-12-15 16:09:00,12.02,-0.63,1403
p012,2024-01-08 14:56:00,2.16,4.3,-569
p012,2024-02-14 01:25:00,5.28,-1.26,56
p012,2024-03-13 02:23:00,-0.4,-4.72,-1081
p012,2024-04-04 22:41:00,1.87,2.91,-627
p012,2024-05-05 01:18:00,13.79,3.3,1757
p012,2024-06-23 04:48:00,9.44,-0.31,889
p012,2024-07-20 00:57:00,-3.38,-4.81,-1676
p012,2024-08-07 04:35:00,14.25,2.27,1851
p012,2024-09-17 13:07:00,10.89,-2.12,1179
p012,2024-10-10 03:03:00,-0.12,-0.8,-1024
p012,2024-11-26 19:29:00,-3.71,-3.89,-1743
p012,2024-12-16 19:34:00,-4.67,1.32,-1933
p013,2024-01-19 07:45:00,-2.06,-2.09,-1412
p013,2024-02-01 19:22:00,-0.08,0.71,-1015
p013,2024-03-06 21:42:00,-3.25,0.23,-1650
p013,2024-04-12 02:33:00,6.14,0.07,228
p013,2024-05-17 17:01:00,3.0,3.73,-401
p013,2024-06-02 20:24:00,2.64,-2.46,-471
p013,2024-07-01 11:50:00,-3.62,-1.55,-1724
p013,2024-08-24 21:40:00,-2.88,2.72,-1576
p013,2024-09-24 10:08:00,-4.09,-1.48,-1819
p013,2024-10-11 20:11:00,12.0,2.79,1401
p013,2024-11-15 22:30:00,7.94,-3.18,587
p013,2024-12-05 02:45:00,10.89,4.44,1179
p014,2024-01-02 09:12:00,-4.11,2.91,-1821
p014,2024-02-02 10:59:00,1.35,0.15,-730
p014,2024-03-27 17:30:00,0.18,-4.63,-963
p014,2024-04-21 06:18:00,2.31,3.62,-538
p014,2024-05-02 20:21:00,0.59,-3.76,-881
p014,2024-06-12 13:56:00,3.19,2.43,-362
p014,2024-07-13 10:11:00,5.16,1.92,32
p014,2024-08-12 16:17:00,11.41,-4.17,1281
p014,2024-09-14 02:27:00,7.34,4.95,467
p014,2024-10-06 17:18:00,1.57,-3.97,-685
p014,2024-11-11 21:18:00,1.27,-0.54,-745
p014,2024-12-23 13:10:00,9.12,-0.56,825
p015,2024-01-15 01:46:00,12.82,4.12,1563
p015,2024-02-20 13:17:00,8.1,4.8,619
p015,2024-03-02 02:42:00,8.06,-0.94,611
p015,2024-04-17 23:43:00,-1.72,4.53,-1345
p015,2024-05-05 19:43:00,11.0,-0.62,1200
p015,2024-06-05 02:15:00,10.94,1.45,1188
p015,2024-07-12 12:36:00,-4.34,1.05,-1868
p015,2024-08-22 14:23:00,2.61,-0.56,-477
p015,2024-09-03 18:08:00,5.84,-1.33,168
p015,2024-10-11 20:17:00,0.11,4.61,-978
p015,2024-11-01 23:11:00,5.22,0.18,44
p015,2024-12-18 03:16:00,10.87,-2.4,1174
p016,2024-01-15 06:39:00,0.85,1.94,-831
p016,2024-02-16 06:07:00,-2.22,3.53,-1445
p016,2024-03-15 05:57:00,9.6,-0.55,921
p016,2024-04-03 21:54:00,1.54,1.68,-691
p016,2024-05-23 02:35:00,6.1,-2.1,220
p016,2024-06-10 05:45:00,9.53,4.27,906
p016,2024-07-21 05:50:00,2.4,0.09,-520
p016,2024-08-04 06:50:00,-2.16,-2.63,-1432
p016,2024-09-16 00:23:00,6.35,0.72,269
p016,2024-10-15 17:08:00,7.53,3.84,506
p016,2024-11-03 09:25:00,9.68,2.19,936
p016,2024-12-17 13:49:00,3.38,3.23,-323
p017,2024-01-03 04:20:00,8.15,-4.26,631
p017,2024-02-15 21:33:00,2.05,-3.72,-589
p017,2024-03-27 17:40:00,7.04,-3.18,407
p017,2024-04-05 13:32:00,13.65,3.68,1730
p017,2024-05-27 03:33:00,-1.87,-1.96,-1374
p017,2024-06-06 10:59:00,9.52,-2.75,905
p017,2024-07-17 09:54:00,-3.38,-2.49,-1677
p017,2024-08-21 17:17:00,-2.44,1.25,-1488
p017,2024-09-20 17:05:00,5.29,1.41,58
p017,2024-10-19 18:09:00,-1.5,1.59,-1299
p017,2024-11-24 19:21:00,12.25,4.24,1451
p017,2024-12-02 00:05:00,-4.07,4.49,-1814
p018,2024-01-25 18:16:00,8.33,-2.89,667
p018,2024-02-19 13:39:00,8.09,-4.7,617
p018,2024-03-21 17:18:00,8.14,4.57,629
p018,2024-04-16 07:51:00,11.53,1.85,1306
p018,2024-05-10 14:04:00,9.1,-4.4,820
p018,2024-06-15 13:30:00,4.51,-2.96,-98
p018,2024-07-20 04:20:00,12.64,2.18,1528
p018,2024-08-24 11:25:00,-2.32,2.61,-1465
p018,2024-09-17 17:06:00,1.54,-2.58,-693
p018,2024-10-04 08:28:00,0.07,-3.59,-985
p018,2024-11-02 09:24:00,12.7,1.15,1539
p018,2024-12-08 05:52:00,1.71,4.34,-659
p019,2024-01-24 10:12:00,10.62,-3.41,1125
p019,2024-02-17 14:31:00,13.0,-1.91,1600
p019,2024-03-01 02:25:00,5.35,-0.43,70
p019,2024-04-08 06:37:00,2.23,-4.51,-555
p019,2024-05-10 15:38:00,13.07,3.43,1614
p019,2024-06-22 15:18:00,5.99,-4.92,198
p019,2024-07-04 13:08:00,13.07,-2.36,1614
p019,2024-08-12 12:23:00,-4.08,-0.99,-1815
p019,2024-09-19 17:12:00,2.42,0.53,-516
p019,2024-10-03 12:32:00,4.22,2.64,-156
p019,2024-11-09 19:43:00,7.51,-3.81,502
p019,2024-12-04 12:23:00,11.27,4.87,1255
p020,2024-01-18 11:48:00,-2.05,-3.01,-1410
p020,2024-02-17 12:32:00,-4.18,-4.55,-1836
p020,2024-03-05 22:21:00,11.46,-0.26,1293
p020,2024-04-15 04:38:00,13.29,0.16,1658
p020,2024-05-11 19:20:00,-1.67,-1.07,-1335
p020,2024-06-20 23:53:00,1.12,0.94,-775
p020,2024-07-17 16:34:00,5.03,2.09,6
p020,2024-08-10 15:52:00,-4.66,-1.32,-1932
p020,2024-09-22 03:26:00,6.95,-1.92,390
p020,2024-10-24 22:40:00,-4.46,0.97,-1891
p020,2024-11-09 20:50:00,14.91,2.76,1981
p020,2024-12-19 07:46:00,-3.95,0.84,-1790
p021,2024-01-06 16:40:00,9.76,1.2,953
p021,2024-02-27 12:09:00,11.83,1.81,1365
p021,2024-03-02 18:44:00,-2.75,-3.09,-1550
p021,2024-04-15 10:26:00,-1.9,-0.87,-1380
p021,2024-05-07 13:32:00,10.87,1.11,1174
p021,2024-06-16 23:46:00,-3.73,2.06,-1745
p021,2024-07-17 06:35:00,1.65,4.98,-669
p021,2024-08-16 16:24:00,1.42,4.57,-715
p021,2024-09-15 17:21:00,6.19,-1.46,237
p021,2024-10-25 23:43:00,8.17,3.04,634
p021,2024-11-09 19:30:00,-1.06,4.57,-1213
p021,2024-12-09 17:19:00,-0.39,4.41,-1079
p022,2024-01-10 09:45:00,-0.75,1.9,-1151
p022,2024-02-16 10:30:00,2.14,0.6,-572
p022,2024-03-26 23:17:00,0.89,-3.78,-822
p022,2024-04-22 17:24:00,13.34,4.8,1669
p022,2024-05-27 11:49:00,11.48,-3.54,1295
p022,2024-06-02 09:45:00,-3.38,-1.54,-1677
p022,2024-07-15 20:16:00,10.3,-0.21,1061
p022,2024-08-07 17:17:00,14.11,0.62,1821
p022,2024-09-09 04:06:00,7.61,2.41,521
p022,2024-10-08 07:03:00,8.71,4.05,743
p022,2024-11-08 20:14:00,-3.92,-4.0,-1785
p022,2024-12-11 22:30:00,-2.95,1.81,-1589
p023,2024-01-05 00:35:00,14.03,-3.42,1805
p023,2024-02-21 15:30:00,8.32,-3.01,664
p023,2024-03-10 10:18:00,8.22,-4.41,645
p023,2024-04-25 02:41:00,6.75,-2.68,351
p023,2024-05-24 23:54:00,14.18,-4.63,1836
p023,2024-06-06 13:56:00,12.15,-3.24,1430
p023,2024-07-02 12:50:00,5.14,-3.14,29
p023,2024-08-24 09:56:00,-4.24,-4.91,-1847
p023,2024-09-19 19:06:00,14.01,4.83,1802
p023,2024-10-10 14:41:00,6.12,0.24,225
p023,2024-11-05 16:29:00,0.58,-3.07,-883
p023,2024-12-04 10:10:00,9.97,-0.41,994
p024,2024-01-09 22:11:00,-4.71,2.37,-1943
p024,2024-02-26 09:36:00,8.81,2.57,762
p024,2024-03-06 19:54:00,8.08,3.97,616
p024,2024-04-27 13:32:00,1.71,-4.13,-657
p024,2024-05-22 03:11:00,-2.12,-0.23,-1425
p024,2024-06-08 00:16:00,2.85,-2.64,-429
p024,2024-07-25 08:21:00,1.18,0.82,-764
p024,2024-08-19 00:16:00,8.38,-1.4,677
p024,2024-09-08 01:42:00,-2.58,-0.35,-1516
p024,2024-10-06 12:43:00,5.29,4.23,58
p024,2024-11-23 09:44:00,-2.6,1.39,-1520
p024,2024-12-10 11:39:00,-0.48,-2.81,-1096
p025,2024-01-05 15:09:00,4.31,2.48,-137
p025,2024-02-20 11:26:00,9.38,0.49,875
p025,2024-03-16 17:51:00,8.6,3.26,720
p025,2024-04-25 07:43:00,10.46,0.96,1091
p025,2024-05-26 02:33:00,4.14,0.28,-171
p025,2024-06-12 02:58:00,6.55,-3.88,310
p025,2024-07-27 17:57:00,5.35,-2.98,70
p025,2024-08-18 04:10:00,1.71,3.54,-657
p025,2024-09-15 03:43:00,-0.79,2.17,-1159
p025,2024-10-16 02:57:00,5.45,-0.55,90
p025,2024-11-02 14:08:00,5.51,-0.85,102
p025,2024-12-19 01:35:00,4.46,1.73,-107
p026,2024-01-10 23:01:00,3.11,-2.46,-379
p026,2024-02-01 23:13:00,6.84,-4.27,368
p026,2024-03-14 11:44:00,-3.69,0.41,-1739
p026,2024-04-02 02:59:00,4.67,-4.68,-67
p026,2024-05-14 05:49:00,-2.23,2.66,-1446
p026,2024-06-24 20:26:00,2.66,4.93,-467
p026,2024-07-13 14:55:00,13.78,4.07,1756
p026,2024-08-13 02:43:00,14.74,1.62,1949
p026,2024-09-18 04:41:00,12.62,-1.52,1523
p026,2024-10-06 17:25:00,5.83,-3.73,166
p026,2024-11-08 00:48:00,-4.54,4.78,-1907
p026,2024-12-15 21:46:00,6.15,-0.76,230
p027,2024-01-13 07:15:00,4.43,-1.54,-114
p027,2024-02-09 06:59:00,12.92,2.25,1584
p027,2024-03-04 01:51:00,8.52,-0.81,704
p027,2024-04-25 00:15:00,-0.78,-4.33,-1156
p027,2024-05-20 01:28:00,7.24,1.72,448
p027,2024-06-28 01:15:00,10.16,-4.56,1033
p027,2024-07-15 07:34:00,-0.55,2.54,-1111
p027,2024-08-25 01:08:00,5.32,4.93,63
p027,2024-09-08 23:36:00,1.53,0.77,-694
p027,2024-10-25 21:52:00,1.56,-2.63,-687
p027,2024-11-05 21:33:00,-0.47,-0.86,-1095
p027,2024-12-09 01:35:00,14.42,0.92,1885
p028,2024-01-24 05:40:00,8.9,-0.73,780
p028,2024-02-16 01:22:00,14.28,1.43,1856
p028,2024-03-13 16:20:00,9.26,-0.84,852
p028,2024-04-05 09:24:00,-1.23,2.54,-1247
p028,2024-05-16 07:54:00,-0.38,-1.99,-1077
p028,2024-06-23 04:51:00,4.48,4.15,-104
p028,2024-07-18 13:26:00,6.41,0.3,282
p028,2024-08-13 07:16:00,-0.84,-1.7,-1168
p028,2024-09-03 14:54:00,2.59,-4.08,-481
p028,2024-10-24 06:03:00,0.5,-1.23,-901
p028,2024-11-20 19:02:00,12.89,-4.27,1578
p028,2024-12-26 18:46:00,8.75,0.59,750
p029,2024-01-16 06:55:00,13.57,-1.67,1715
p029,2024-02-01 06:59:00,-1.11,4.62,-1222
p029,2024-03-04 23:48:00,4.8,4.14,-39
p029,2024-04-23 19:45:00,-0.82,-1.03,-1163
p029,2024-05-08 17:20:00,10.88,-2.17,1176
p029,2024-06-15 17:41:00,2.36,-1.92,-529
p029,2024-07-12 16:56:00,5.18,-0.34,36
p029,2024-08-26 23:30:00,10.6,3.4,1119
p029,2024-09-07 11:20:00,3.47,-4.54,-305
p029,2024-10-28 07:47:00,-2.02,-4.84,-1403
p029,2024-11-18 18:37:00,9.74,-0.82,949
p029,2024-12-05 06:21:00,-0.29,-1.2,-1058
p030,2024-01-27 07:31:00,6.27,1.55,255
p030,2024-02-22 10:16:00,10.63,3.22,1126
p030,2024-03-24 20:47:00,5.04,-0.39,9
p030,2024-04-24 11:10:00,-2.14,2.2,-1427
p030,2024-05-16 05:58:00,13.21,0.42,1642
p030,2024-06-21 01:33:00,-4.31,3.39,-1862
p030,2024-07-03 21:03:00,10.65,-4.94,1130
p030,2024-08-05 20:14:00,-3.61,2.07,-1722
p030,2024-09-01 06:32:00,4.34,-1.27,-133
p030,2024-10-20 20:42:00,14.12,1.17,1825
p030,2024-11-16 21:31:00,-4.68,-4.93,-1936
p030,2024-12-18 13:00:00,-4.66,0.29,-1932
p031,2024-01-09 17:18:00,-4.65,0.02,-1930
p031,2024-02-23 21:27:00,11.51,4.4,1302
p031,2024-03-06 03:58:00,-3.03,0.24,-1606
p031,2024-04-08 06:39:00,5.78,-2.48,156
p031,2024-05-12 08:50:00,3.12,-4.21,-375
p031,2024-06-13 14:36:00,-0.02,4.9,-1004
p031,2024-07-08 09:43:00,11.95,3.48,1391
p031,2024-08-21 20:48:00,-4.36,-4.06,-1871
p031,2024-09-13 12:35:00,4.75,-4.44,-51
p031,2024-10-01 22:10:00,-3.31,-0.0,-1662
p031,2024-11-14 20:50:00,1.78,0.66,-644
p031,2024-12-28 03:57:00,5.81,4.19,163
p032,2024-01-08 06:57:00,12.78,1.92,1555
p032,2024-02-19 15:17:00,-4.05,4.24,-1810
p032,2024-03-22 08:57:00,6.12,0.64,224
p032,2024-04-02 05:59:00,12.41,-1.86,1483
p032,2024-05-07 18:09:00,10.4,3.21,1081
p032,2024-06-27 12:59:00,-3.42,-2.01,-1685
p032,2024-07-19 07:36:00,12.09,3.49,1418
p032,2024-08-22 17:21:00,2.86,2.56,-428
p032,2024-09-05 22:46:00,-3.4,0.01,-1679
p032,2024-10-12 01:06:00,3.95,-2.68,-210
p032,2024-11-03 10:38:00,10.75,1.14,1149
p032,2024-12-20 12:49:00,1.68,-4.7,-664
p033,2024-01-09 14:31:00,-0.33,-1.44,-1066
p033,2024-02-13 13:11:00,8.92,0.86,784
p033,2024-03-13 02:49:00,7.66,-2.05,533
p033,2024-04-08 22:04:00,-3.32,-2.32,-1664
p033,2024-05-13 22:50:00,7.98,-3.46,596
p033,2024-06-13 10:23:00,-2.82,-4.08,-1564
p033,2024-07-10 14:23:00,10.59,-2.3,1118
p033,2024-08-05 02:11:00,3.82,-0.51,-235
p033,2024-09-18 16:26:00,-2.89,-4.74,-1577
p033,2024-10-12 17:05:00,7.22,0.98,445
p033,2024-11-11 12:00:00,0.98,-0.86,-805
p033,2024-12-25 02:46:00,13.45,0.6,1691
p034,2024-01-08 18:33:00,-1.53,1.85,-1306
p034,2024-02-06 04:17:00,1.17,-2.32,-767
p034,2024-03-05 02:10:00,3.9,-2.24,-220
p034,2024-04-10 15:50:00,-3.42,-1.39,-1685
p034,2024-05-08 23:40:00,5.15,0.94,30
p034,2024-06-07 14:06:00,-2.23,-1.95,-1446
p034,2024-07-13 10:53:00,7.7,-1.2,540
p034,2024-08-28 10:28:00,1.86,-0.69,-629
p034,2024-09-27 20:38:00,-2.21,-2.0,-1443
p034,2024-10-20 22:12:00,4.81,-1.86,-38
p034,2024-11-13 10:18:00,10.05,1.95,1010
p034,2024-12-16 18:50:00,-0.04,-1.74,-1008
p035,2024-01-09 12:23:00,-2.67,4.32,-1534
p035,2024-02-07 18:34:00,-1.32,1.82,-1264
p035,2024-03-18 00:46:00,4.45,4.43,-110
p035,2024-04-07 14:51:00,0.96,3.31,-807
p035,2024-05-03 13:43:00,5.22,-3.61,45
p035,2024-06-10 07:16:00,8.48,-3.46,697
p035,2024-07-14 12:04:00,4.2,4.91,-161
p035,2024-08-16 18:25:00,5.94,0.07,188
p035,2024-09-28 22:26:00,6.13,-4.63,226
p035,2024-10-12 22:57:00,11.63,0.37,1327
p035,2024-11-21 02:06:00,10.75,-2.52,1149
p035,2024-12-22 11:10:00,8.25,1.13,650
p036,2024-01-19 20:43:00,8.25,-1.0,649
p036,2024-02-25 10:50:00,3.81,-3.94,-237
p036,2024-03-04 08:14:00,5.46,2.47,91
p036,2024-04-18 18:44:00,6.78,-2.79,356
p036,2024-05-12 12:29:00,10.81,1.8,1163
p036,2024-06-23 16:09:00,2.06,4.98,-588
p036,2024-07-16 03:18:00,3.52,4.21,-297
p036,2024-08-03 03:53:00,14.27,2.3,1853
p036,2024-09-12 09:21:00,4.32,2.84,-135
p036,2024-10-17 15:22:00,4.75,-4.02,-50
p036,2024-11-24 22:28:00,1.53,-4.33,-694
p036,2024-12-02 22:07:00,-4.54,3.49,-1908
p037,2024-01-21 03:43:00,11.39,-3.36,1277
p037,2024-02-24 07:33:00,-1.43,0.52,-1286
p037,2024-03-11 17:27:00,14.62,-0.38,1925
p037,2024-04-26 12:40:00,-1.23,-3.14,-1245
p037,2024-05-22 13:25:00,-4.41,2.37,-1881
p037,2024-06-07 14:37:00,3.79,-1.11,-241
p037,2024-07-23 06:13:00,0.7,2.52,-860
p037,2024-08-26 02:36:00,-2.92,3.0,-1584
p037,2024-09-18 05:23:00,1.67,-3.03,-665
p037,2024-10-04 08:42:00,12.66,-0.11,1533
p037,2024-11-21 10:38:00,2.96,1.11,-409
p037,2024-12-19 03:22:00,2.21,3.46,-559
p038,2024-01-20 05:52:00,8.79,2.06,759
p038,2024-02-10 19:37:00,-3.27,1.72,-1653
p038,2024-03-11 03:15:00,1.25,-3.83,-750
p038,2024-04-12 22:09:00,5.46,-1.12,92
p038,2024-05-20 04:36:00,2.85,-0.77,-429
p038,2024-06-16 20:34:00,9.2,4.19,840
p038,2024-07-06 17:10:00,5.02,-2.11,5
p038,2024-08-06 10:53:00,4.23,1.19,-153
p038,2024-09-28 11:00:00,4.92,-3.63,-16
p038,2024-10-27 12:35:00,5.35,1.53,70
p038,2024-11-14 21:31:00,3.51,2.1,-298
p038,2024-12-15 15:10:00,-3.31,0.65,-1662
p039,2024-01-26 07:18:00,-4.33,-2.25,-1867
p039,2024-02-18 09:10:00,10.98,-0.43,1197
p039,2024-03-24 15:35:00,5.46,-3.87,92
p039,2024-04-04 08:49:00,6.12,3.23,224
p039,2024-05-12 17:52:00,10.5,-4.58,1099
p039,2024-06-24 14:34:00,-0.53,4.9,-1105
p039,2024-07-04 23:53:00,8.38,2.51,677
p039,2024-08-10 01:28:00,0.38,-1.51,-924
p039,2024-09-27 02:28:00,12.72,4.94,1544
p039,2024-10-25 07:13:00,11.6,2.38,1320
p039,2024-11-23 11:55:00,9.55,1.1,911
p039,2024-12-14 05:39:00,-2.15,2.85,-1430
p040,2024-01-27 06:51:00,-3.79,0.7,-1757
p040,2024-02-18 08:38:00,6.03,-3.32,206
p040,2024-03-23 09:18:00,6.73,-2.33,345
p040,2024-04-28 16:57:00,8.91,3.15,782
p040,2024-05-05 13:58:00,-3.79,4.92,-1758
p040,2024-06-28 20:08:00,9.37,3.66,873
p040,2024-07-08 04:45:00,1.59,3.28,-681
p040,2024-08-25 21:25:00,5.02,-3.58,4
p040,2024-09-21 08:40:00,3.48,-1.25,-304
p040,2024-10-03 20:50:00,13.02,2.69,1604
p040,2024-11-13 16:47:00,0.7,1.95,-861
p040,2024-12-12 14:31:00,1.7,0.82,-660
p041,2024-01-28 23:05:00,9.96,4.72,993
p041,2024-02-21 21:44:00,2.34,3.5,-533
p041,2024-03-26 17:25:00,-0.54,4.68,-1108
p041,2024-04-27 06:31:00,0.5,-1.77,-901
p041,2024-05-10 10:35:00,6.84,-3.69,367
p041,2024-06-28 15:50:00,2.04,3.94,-593
p041,2024-07-25 01:02:00,-2.97,1.26,-1593
p041,2024-08-27 14:01:00,-2.46,4.29,-1492
p041,2024-09-06 14:29:00,-4.99,4.92,-1998
p041,2024-10-14 06:44:00,13.62,-3.68,1724
p041,2024-11-21 09:10:00,12.91,4.33,1581
p041,2024-12-09 02:41:00,2.38,-2.5,-524
p042,2024-01-12 21:57:00,8.29,-3.34,657
p042,2024-02-13 20:19:00,9.86,1.99,973
p042,2024-03-08 13:41:00,-3.13,2.04,-1627
p042,2024-04-01 06:30:00,-3.41,-3.67,-1681
p042,2024-05-08 16:43:00,4.11,-4.91,-178
p042,2024-06-23 10:52:00,-2.54,4.88,-1507
p042,2024-07-14 22:08:00,4.78,-4.29,-44
p042,2024-08-13 02:46:00,11.51,-3.98,1301
p042,2024-09-11 11:56:00,1.12,-3.63,-775
p042,2024-10-25 04:41:00,8.87,-3.57,773
p042,2024-11-17 18:00:00,7.5,1.5,499
